id,text,entry_type,french_gloss,english_gloss,category,notes,audio_filename,contributor,timestamp
11,"Il y a trop de wahala dans ce palabre.","statement","Il y a trop de problèmes dans cette dispute.","There's too much trouble in this dispute.","Trouble, luck and street life","Constructed example built from lexicon entries (wahala, palabre); not a recorded/verified real-speaker statement.","","",""
12,"Na lui qui a fait ca, oh!","statement","C'est bien lui qui a fait ça !","It's really him who did that!","Grammar glue and discourse markers","Constructed example built from lexicon entries (na, oh); not a recorded/verified real-speaker statement.","","",""
13,"Je dois bosser a la fac avant d'acheter un forfait.","statement","Je dois travailler dur à l'université avant d'acheter un forfait de données.","I need to study hard at university before buying a data bundle.","University and phones","Constructed example built from extra_lexicon entries (bosser, fac, forfait); not a recorded/verified real-speaker statement.","","",""
14,"Il y a delestage encore, pas de connexion.","statement","Il y a encore une coupure de courant programmée, pas de connexion.","There's a power rationing again, no connection.","Street, transport and utilities","Constructed example built from extra_lexicon entries (delestage, connexion); not a recorded/verified real-speaker statement.","","",""
15,"Ce mbenguiste est revenu au mboa avec plein de cadeaux.","statement","Ce Camerounais revenu d'Europe est rentré au pays avec plein de cadeaux.","That Cameroonian who lived abroad came back home with lots of gifts.","People and address terms","Constructed example built from lexicon entries (mbenguiste, mboa, cadeau); not a recorded/verified real-speaker statement.","","",""
16,"Ashia, le pays est dur en ce moment.","statement","Désolé, le pays est difficile en ce moment.","Sorry to hear that, life here is hard right now.","Greetings and social formulas","Constructed example built from lexicon entries (Ashia, le pays est dur); not a recorded/verified real-speaker statement.","","",""
17,"Il m'a taxe pour du nkap, mais je suis sec.","statement","Il m'a demandé de l'argent, mais je suis fauché.","He asked me to spare some cash, but I'm broke.","Money, work and hustle","Constructed example built from lexicon entries (taxer, nkap, sec); not a recorded/verified real-speaker statement.","","",""
18,"Ne me sissia pas, je ne piak pas facilement.","statement","Ne m'intimide pas, je ne fuis pas facilement.","Don't try to intimidate me, I don't run away easily.","Common verbs and actions","Constructed example built from lexicon entries (sissia, piak); not a recorded/verified real-speaker statement.","","",""
19,"On a pris un benskin jusqu'au carrefour.","statement","On a pris une moto-taxi jusqu'au carrefour.","We took a motorcycle taxi to the junction.","Places, movement and transport","Constructed example built from lexicon entries (benskin, carrefour); not a recorded/verified real-speaker statement.","","",""
20,"Le soya au call box est vraiment fresh ce soir.","statement","La viande grillée près du stand de crédit est vraiment délicieuse ce soir.","The grilled meat skewers by the phone-credit stand are really good tonight.","Food and drink","Constructed example built from lexicon entries (soya, call box, fresh); not a recorded/verified real-speaker statement.","","",""
21,"Ce djo est fort en bosh, il va reussir.","statement","Ce garçon est doué pour étudier dur, il va réussir.","This guy is good at studying hard, he'll succeed.","Describing people and things","Constructed example built from lexicon entries (djo, fort, bosh); not a recorded/verified real-speaker statement.","","",""
22,"Il y a trop de kalaba a cause de ce palabre.","statement","Il y a trop de confusion à cause de cette dispute.","There's too much confusion because of this dispute.","Trouble, luck and street life","Constructed example built from lexicon entries (kalaba, palabre); not a recorded/verified real-speaker statement.","","",""
23,"Il est fort, hein? Meme lui sait ca.","statement","Il est fort, hein ? Même lui sait ça.","He's skilled, right? Even he knows that.","Grammar glue and discourse markers","Constructed example built from lexicon entries (hein, meme); not a recorded/verified real-speaker statement.","","",""
24,"Pas de connexion, le forfait est fini.","statement","Pas de connexion, le forfait de données est épuisé.","No connection, the data bundle has run out.","University and phones","Constructed example built from extra_lexicon entries (forfait, connexion); not a recorded/verified real-speaker statement.","","",""
25,"Au chek point, le motard a montre son papier.","statement","Au poste de contrôle, le conducteur de moto a montré ses papiers.","At the checkpoint, the motorcycle rider showed his papers.","Street, transport and utilities","Constructed example built from extra_lexicon entries (chek point, motard); not a recorded/verified real-speaker statement.","","",""
26,"Garr! Je wanda de voir ca.","statement","Wow ! Je suis étonné de voir ça.","Wow! I'm amazed to see that.","Extra slang and fillers","Constructed example built from extra_lexicon entries (garr, je wanda); not a recorded/verified real-speaker statement.","","",""
