word,part_of_speech,english_meaning,origin,section
sabi,verb,to know; to be knowledgeable about,Pidgin,Verbs
mimba,verb,to think; to remember,Pidgin,Verbs
tchop / chop,verb,to eat,Pidgin chop,Verbs
ndem,verb,to fail; to break down; to go wrong,Cameroonian langs,Verbs
gauler,verb,to catch; to arrest,French,Verbs
tchatcher,verb,to chat up; to talk persuasively,French,Verbs
tchat,noun / verb,a chat; flirtation; to flirt,French,Verbs
sissia,verb,to intimidate; to threaten; to bully,Pidgin,Verbs
kick,verb,to leave; to go away,English,Verbs
tcha,verb,to catch; to grab; to seize,Pidgin catch,Verbs
kongossa,noun / verb,gossip; to gossip about people,Pidgin,Verbs
toli,noun,a story; talk; gossip,Pidgin tori,Verbs
wanda,verb,to wonder; to be astonished,Eng. wonder,Verbs
jong,verb,to drink alcohol; to get drunk,Cameroonian langs,Verbs
nyoxer,verb,vulgar term for sexual intercourse,Cameroonian langs,Verbs
piak,verb,to run away; to flee,Cameroonian langs,Verbs
nang,verb,to sleep; to spend the night,Cameroonian langs,Verbs
bosh,verb,to study; to revise hard,Eng. bosh,Verbs
saper / se saper,verb,to dress smartly; to dress up,French,Verbs
mban,verb,"to fail (an exam, a plan)",Cameroonian langs,Verbs
yabat,verb,to be in pain; to be in trouble,Cameroonian langs,Verbs
yamo,verb,to waste one's time,Cameroonian langs,Verbs
shoua,verb,"to wash (clothes, dishes)",Cameroonian langs,Verbs
cote,verb,"to cut (power, water)","Fr. couper, clipped",Verbs
shiba,verb,to lower; to bring down (a price),Cameroonian langs,Verbs
falla,verb,to look for; to search for,Cameroonian langs,Verbs
back,verb,to come back; to return,English,Verbs
came,verb,came; arrived,English,Verbs
talk,verb,to talk; to speak,English,Verbs
go,particle / verb (future marker),going to (do something),Eng. go,Verbs
kwatt,noun,neighbourhood; quarter; home area,Fr. quartier,Places
piol,noun,home; one's house or room,Cameroonian langs,Places
mboa,noun,home; one's home town or country,Duala,Places
Kamer,proper noun,Cameroon,"Cameroon, clipped",Places
Mbeng,proper noun,Europe; France; the West,Cameroonian langs,Places
kondre,noun,home village; homeland,Pidgin country,Places
ngata,noun,prison; jail,Cameroonian langs,Places
carrefour,noun,a street junction; social/trading hub,French,Places
clando,noun,an unlicensed taxi; anything clandestine,Fr. clandestin,Places
opep,noun,a shared or intercity bush taxi,Cameroonian langs,Places
benskin,noun,a commercial motorcycle taxi,Pidgin,Places
moto,noun,motorcycle,French,Places
call box,noun,a street stall selling calls and airtime,English,Places
tournedos,noun,a cheap roadside eating spot,French,Places
circuit,noun,a small local drinking bar,French,Places
school,noun,school; university,English,Places
chop,noun,food,Pidgin,Food
mimbo,noun,alcoholic drink; palm wine,Pidgin,Food
matango,noun,palm wine,Cameroonian langs,Food
odontol,noun,illicitly distilled strong spirit,Cameroonian langs,Food
ndole,noun,bitterleaf dish with groundnut and meat,Duala,Food
eru,noun,dish of shredded forest leaves,Cameroonian langs,Food
ekwang,noun,dish of grated cocoyam in leaves,Cameroonian langs,Food
njama njama,noun,huckleberry greens dish,Cameroonian langs,Food
poulet DG,noun,chicken with fried plantain,French,Food
soya,noun,spiced grilled meat on skewers,Hausa,Food
garri,noun,granulated cassava,West African,Food
beignets,noun,fried dough balls,French,Food
couscous,noun,stiff pounded staple,French usage,Food
chaud,adjective,hot; intense; impressive,French,Describing
dur,adjective,hard; tough; difficult,French,Describing
fort,adjective,strong; skilled,French,Describing
fresh,adjective,smart; well turned out; stylish,English,Describing
sape,adjective,well dressed; sharply turned out,French,Describing
nyanga,noun,style; vanity; showing off,Pidgin,Describing
fain,adjective,fine; good-looking; attractive,Pidgin,Describing
wowo,adjective,ugly; unattractive,Pidgin,Describing
gros,adjective,big; important,French,Describing
mbindi,adjective,small; little,Cameroonian langs,Describing
long,adjective,tall; lengthy,English / French,Describing
top,adjective,excellent; first-rate,English,Describing
mbut,adjective,foolish; naive,Cameroonian langs,Describing
kass,adjective,tired; exhausted; worn out,Cameroonian langs,Describing
free,adverb,freely; without constraint,English,Describing
wahala,noun,trouble; difficulty,Pidgin / Hausa,Trouble
palabre,noun,a dispute; a quarrel,French,Trouble
ndoutou,noun,bad luck; misfortune,Cameroonian langs,Trouble
ngrimbah,noun,trickery; a cunning scheme,Cameroonian langs,Trouble
djoumbai,noun,a party; a celebration,Cameroonian langs,Trouble
ngata,noun,prison,Cameroonian langs,Trouble
pala pala,noun,wrestling; a fight,Cameroonian langs,Trouble
kalaba,noun,confusion; a mess,Cameroonian langs,Trouble
mbeng fever,noun,the drive to emigrate to Europe,Mbeng + Eng.,Trouble
na,particle,is; it is (copula),Pidgin,Grammar
la,particle,"'that one', 'the one in question'",French,Grammar
deh / dey,particle,emphatic particle closing a statement,Pidgin,Grammar
oh,interjection / particle,sentence-final emphasis or warning,Pidgin / Fr.,Grammar
hein,particle,"tag seeking agreement, 'right?'",French,Grammar
quoi,particle,"filler, 'you know', 'I mean'",French,Grammar
meme,adverb,even; emphasises the preceding word,French,Grammar
seulement,adverb,just; only; simply,French,Grammar
deja,adverb,already; marks completed action,French,Grammar
soso,adverb,constantly; only ever; nothing but,Pidgin so-so,Grammar
sef,particle,even; emphasises the word before it,Pidgin,Grammar
sha,particle,anyway; just; softens a statement,Pidgin,Grammar
comme ca,adverb / phrase,like that; just so,French,Grammar
on,pronoun,we; people in general,French,Grammar
bayar,adverb,a long time; for ages,Cameroonian langs,Grammar
sharp / shap,adverb,this morning; early,"Pidgin, reinterpreted",Grammar
man,interjection / particle,"vocative filler, 'man', 'dude'",English,Grammar
flop,adverb,a lot; much (quantity intensifier),Cameroonian langs,Grammar
motard,noun,a motorcycle taxi rider,French,Utilities
mange-mille,noun,a traffic police officer,French,Utilities
panne,noun,a breakdown,French,Utilities
coupure,noun,a power cut,French,Utilities
delestage,noun,scheduled power rationing,French,Utilities
embouteillage,noun,a traffic jam,French,Utilities
prix fixe,noun,"fixed price, no bargaining",French,Utilities
dernier prix,noun,final price,French,Utilities
cadeau,adjective,free of charge,French,Utilities
tuyau,noun,a useful tip; inside information,French,Utilities
debrouillardise,noun,getting by; hustling to survive,French,Utilities
se debrouiller,verb,to manage; to get by,French,Utilities
ambiance,noun,a lively atmosphere; a party,French,Utilities
ambianceur,noun,someone who livens up a party,French,Utilities
chek point,noun,a police checkpoint,Eng. checkpoint,Utilities
kontrol,noun,a police check,Fr. controle,Utilities
borne fontaine,noun,a public standpipe,French,Utilities
taco,noun,a taxi,Cameroonian langs,Utilities
light,noun,electricity; mains power,English,Utilities
fac,noun,the university; the faculty,"Fr. faculte, clipped",University
amphi,noun,a lecture theatre,"Fr. amphitheatre, clipped",University
bosser,verb,to work; to study hard,French,University
garri boy,noun,a student who studies hard,Pidgin,University
forfait,noun,a data bundle,French,University
connexion,noun,an internet connection,French,University
credit,noun,phone credit; airtime,French,University
call box,noun,street stall selling calls/airtime,English,University
portable,noun,a mobile phone,French,University
garr,interjection,wow; expression of surprise,Cameroonian langs,Slang
zero-zero,adjective,nothing at all; completely broke,French,Slang
je wanda,verb phrase,I am amazed,Fr. + Eng. wonder,Slang
ekiee,interjection,oh my; exclamation of surprise,Cameroonian langs,Slang
hmmm,interjection,expression of doubt or weariness,onomatopoeia,Slang
ndolo,noun,love; affection,Duala,Slang
kwatt boy,noun,a neighbourhood youth,Fr. quartier,Slang
djibs,noun,food,Cameroonian langs,Slang
dja,verb,to eat,Cameroonian langs,Slang
nyoxer,verb,vulgar term for sexual intercourse,Cameroonian langs,Slang
kako,noun,clothes; outfit,Cameroonian langs,Slang
I,pronoun,I,English,Common English
you,pronoun,you,English,Common English
he,pronoun,he,English,Common English
she,pronoun,she,English,Common English
it,pronoun,it,English,Common English
we,pronoun,we,English,Common English
they,pronoun,they,English,Common English
me,pronoun,me,English,Common English
him,pronoun,him,English,Common English
her,pronoun,her,English,Common English
us,pronoun,us,English,Common English
them,pronoun,them,English,Common English
my,pronoun,my,English,Common English
your,pronoun,your,English,Common English
his,pronoun,his,English,Common English
its,pronoun,its,English,Common English
our,pronoun,our,English,Common English
their,pronoun,their,English,Common English
this,pronoun,this,English,Common English
that,pronoun,that,English,Common English
these,pronoun,these,English,Common English
those,pronoun,those,English,Common English
who,pronoun,who,English,Common English
whom,pronoun,whom,English,Common English
whose,pronoun,whose,English,Common English
which,pronoun,which,English,Common English
what,pronoun,what,English,Common English
be,verb,be,English,Common English
have,verb,have,English,Common English
do,verb,do,English,Common English
say,verb,say,English,Common English
get,verb,get,English,Common English
make,verb,make,English,Common English
go,verb,go,English,Common English
know,verb,know,English,Common English
take,verb,take,English,Common English
see,verb,see,English,Common English
come,verb,come,English,Common English
think,verb,think,English,Common English
look,verb,look,English,Common English
want,verb,want,English,Common English
give,verb,give,English,Common English
use,verb,use,English,Common English
find,verb,find,English,Common English
tell,verb,tell,English,Common English
ask,verb,ask,English,Common English
work,verb,work,English,Common English
seem,verb,seem,English,Common English
feel,verb,feel,English,Common English
try,verb,try,English,Common English
leave,verb,leave,English,Common English
call,verb,call,English,Common English
need,verb,need,English,Common English
become,verb,become,English,Common English
put,verb,put,English,Common English
mean,verb,mean,English,Common English
keep,verb,keep,English,Common English
let,verb,let,English,Common English
begin,verb,begin,English,Common English
help,verb,help,English,Common English
talk,verb,talk,English,Common English
turn,verb,turn,English,Common English
start,verb,start,English,Common English
show,verb,show,English,Common English
hear,verb,hear,English,Common English
play,verb,play,English,Common English
run,verb,run,English,Common English
move,verb,move,English,Common English
like,verb,like,English,Common English
live,verb,live,English,Common English
believe,verb,believe,English,Common English
bring,verb,bring,English,Common English
happen,verb,happen,English,Common English
write,verb,write,English,Common English
provide,verb,provide,English,Common English
sit,verb,sit,English,Common English
stand,verb,stand,English,Common English
lose,verb,lose,English,Common English
pay,verb,pay,English,Common English
meet,verb,meet,English,Common English
include,verb,include,English,Common English
continue,verb,continue,English,Common English
set,verb,set,English,Common English
learn,verb,learn,English,Common English
change,verb,change,English,Common English
lead,verb,lead,English,Common English
understand,verb,understand,English,Common English
watch,verb,watch,English,Common English
follow,verb,follow,English,Common English
stop,verb,stop,English,Common English
create,verb,create,English,Common English
speak,verb,speak,English,Common English
read,verb,read,English,Common English
allow,verb,allow,English,Common English
add,verb,add,English,Common English
spend,verb,spend,English,Common English
grow,verb,grow,English,Common English
open,verb,open,English,Common English
walk,verb,walk,English,Common English
win,verb,win,English,Common English
offer,verb,offer,English,Common English
remember,verb,remember,English,Common English
love,verb,love,English,Common English
consider,verb,consider,English,Common English
appear,verb,appear,English,Common English
buy,verb,buy,English,Common English
wait,verb,wait,English,Common English
serve,verb,serve,English,Common English
die,verb,die,English,Common English
send,verb,send,English,Common English
expect,verb,expect,English,Common English
build,verb,build,English,Common English
stay,verb,stay,English,Common English
fall,verb,fall,English,Common English
cut,verb,cut,English,Common English
reach,verb,reach,English,Common English
kill,verb,kill,English,Common English
remain,verb,remain,English,Common English
time,noun,time,English,Common English
year,noun,year,English,Common English
people,noun,people,English,Common English
way,noun,way,English,Common English
day,noun,day,English,Common English
man,noun,man,English,Common English
thing,noun,thing,English,Common English
woman,noun,woman,English,Common English
life,noun,life,English,Common English
child,noun,child,English,Common English
world,noun,world,English,Common English
school,noun,school,English,Common English
state,noun,state,English,Common English
family,noun,family,English,Common English
student,noun,student,English,Common English
group,noun,group,English,Common English
country,noun,country,English,Common English
problem,noun,problem,English,Common English
hand,noun,hand,English,Common English
part,noun,part,English,Common English
place,noun,place,English,Common English
case,noun,case,English,Common English
week,noun,week,English,Common English
company,noun,company,English,Common English
system,noun,system,English,Common English
program,noun,program,English,Common English
question,noun,question,English,Common English
work,noun,work,English,Common English
government,noun,government,English,Common English
number,noun,number,English,Common English
night,noun,night,English,Common English
point,noun,point,English,Common English
home,noun,home,English,Common English
water,noun,water,English,Common English
room,noun,room,English,Common English
mother,noun,mother,English,Common English
area,noun,area,English,Common English
money,noun,money,English,Common English
story,noun,story,English,Common English
fact,noun,fact,English,Common English
month,noun,month,English,Common English
lot,noun,lot,English,Common English
right,noun,right,English,Common English
study,noun,study,English,Common English
book,noun,book,English,Common English
eye,noun,eye,English,Common English
job,noun,job,English,Common English
word,noun,word,English,Common English
business,noun,business,English,Common English
issue,noun,issue,English,Common English
side,noun,side,English,Common English
kind,noun,kind,English,Common English
head,noun,head,English,Common English
house,noun,house,English,Common English
service,noun,service,English,Common English
friend,noun,friend,English,Common English
father,noun,father,English,Common English
power,noun,power,English,Common English
hour,noun,hour,English,Common English
game,noun,game,English,Common English
line,noun,line,English,Common English
end,noun,end,English,Common English
member,noun,member,English,Common English
law,noun,law,English,Common English
car,noun,car,English,Common English
city,noun,city,English,Common English
community,noun,community,English,Common English
name,noun,name,English,Common English
president,noun,president,English,Common English
team,noun,team,English,Common English
minute,noun,minute,English,Common English
idea,noun,idea,English,Common English
body,noun,body,English,Common English
information,noun,information,English,Common English
back,noun,back,English,Common English
parent,noun,parent,English,Common English
face,noun,face,English,Common English
level,noun,level,English,Common English
office,noun,office,English,Common English
door,noun,door,English,Common English
health,noun,health,English,Common English
person,noun,person,English,Common English
art,noun,art,English,Common English
war,noun,war,English,Common English
history,noun,history,English,Common English
party,noun,party,English,Common English
result,noun,result,English,Common English
change,noun,change,English,Common English
morning,noun,morning,English,Common English
reason,noun,reason,English,Common English
research,noun,research,English,Common English
girl,noun,girl,English,Common English
guy,noun,guy,English,Common English
moment,noun,moment,English,Common English
air,noun,air,English,Common English
teacher,noun,teacher,English,Common English
force,noun,force,English,Common English
education,noun,education,English,Common English
good,adjective,good,English,Common English
new,adjective,new,English,Common English
first,adjective,first,English,Common English
last,adjective,last,English,Common English
long,adjective,long,English,Common English
great,adjective,great,English,Common English
little,adjective,little,English,Common English
own,adjective,own,English,Common English
other,adjective,other,English,Common English
old,adjective,old,English,Common English
right,adjective,right,English,Common English
big,adjective,big,English,Common English
high,adjective,high,English,Common English
different,adjective,different,English,Common English
small,adjective,small,English,Common English
large,adjective,large,English,Common English
next,adjective,next,English,Common English
early,adjective,early,English,Common English
young,adjective,young,English,Common English
important,adjective,important,English,Common English
few,adjective,few,English,Common English
public,adjective,public,English,Common English
bad,adjective,bad,English,Common English
same,adjective,same,English,Common English
able,adjective,able,English,Common English
sure,adjective,sure,English,Common English
clear,adjective,clear,English,Common English
free,adjective,free,English,Common English
human,adjective,human,English,Common English
local,adjective,local,English,Common English
late,adjective,late,English,Common English
hard,adjective,hard,English,Common English
major,adjective,major,English,Common English
better,adjective,better,English,Common English
best,adjective,best,English,Common English
low,adjective,low,English,Common English
easy,adjective,easy,English,Common English
real,adjective,real,English,Common English
possible,adjective,possible,English,Common English
strong,adjective,strong,English,Common English
whole,adjective,whole,English,Common English
full,adjective,full,English,Common English
special,adjective,special,English,Common English
certain,adjective,certain,English,Common English
personal,adjective,personal,English,Common English
open,adjective,open,English,Common English
red,adjective,red,English,Common English
difficult,adjective,difficult,English,Common English
available,adjective,available,English,Common English
likely,adjective,likely,English,Common English
short,adjective,short,English,Common English
single,adjective,single,English,Common English
current,adjective,current,English,Common English
wrong,adjective,wrong,English,Common English
private,adjective,private,English,Common English
past,adjective,past,English,Common English
foreign,adjective,foreign,English,Common English
fine,adjective,fine,English,Common English
common,adjective,common,English,Common English
poor,adjective,poor,English,Common English
natural,adjective,natural,English,Common English
significant,adjective,significant,English,Common English
similar,adjective,similar,English,Common English
hot,adjective,hot,English,Common English
dead,adjective,dead,English,Common English
central,adjective,central,English,Common English
happy,adjective,happy,English,Common English
not,adverb,not,English,Common English
also,adverb,also,English,Common English
very,adverb,very,English,Common English
often,adverb,often,English,Common English
however,adverb,however,English,Common English
too,adverb,too,English,Common English
usually,adverb,usually,English,Common English
really,adverb,really,English,Common English
early,adverb,early,English,Common English
never,adverb,never,English,Common English
always,adverb,always,English,Common English
sometimes,adverb,sometimes,English,Common English
together,adverb,together,English,Common English
likely,adverb,likely,English,Common English
simply,adverb,simply,English,Common English
generally,adverb,generally,English,Common English
instead,adverb,instead,English,Common English
actually,adverb,actually,English,Common English
again,adverb,again,English,Common English
rather,adverb,rather,English,Common English
almost,adverb,almost,English,Common English
especially,adverb,especially,English,Common English
ever,adverb,ever,English,Common English
quickly,adverb,quickly,English,Common English
enough,adverb,enough,English,Common English
probably,adverb,probably,English,Common English
soon,adverb,soon,English,Common English
finally,adverb,finally,English,Common English
recently,adverb,recently,English,Common English
particularly,adverb,particularly,English,Common English
in,preposition,in,English,Common English
on,preposition,on,English,Common English
at,preposition,at,English,Common English
by,preposition,by,English,Common English
for,preposition,for,English,Common English
with,preposition,with,English,Common English
about,preposition,about,English,Common English
against,preposition,against,English,Common English
between,preposition,between,English,Common English
into,preposition,into,English,Common English
through,preposition,through,English,Common English
during,preposition,during,English,Common English
before,preposition,before,English,Common English
after,preposition,after,English,Common English
above,preposition,above,English,Common English
below,preposition,below,English,Common English
to,preposition,to,English,Common English
from,preposition,from,English,Common English
up,preposition,up,English,Common English
down,preposition,down,English,Common English
over,preposition,over,English,Common English
under,preposition,under,English,Common English
of,preposition,of,English,Common English
off,preposition,off,English,Common English
out,preposition,out,English,Common English
and,conjunction,and,English,Common English
but,conjunction,but,English,Common English
or,conjunction,or,English,Common English
so,conjunction,so,English,Common English
if,conjunction,if,English,Common English
because,conjunction,because,English,Common English
as,conjunction,as,English,Common English
while,conjunction,while,English,Common English
although,conjunction,although,English,Common English
though,conjunction,though,English,Common English
since,conjunction,since,English,Common English
unless,conjunction,unless,English,Common English
until,conjunction,until,English,Common English
the,determiner,the,English,Common English
a,determiner,a,English,Common English
an,determiner,an,English,Common English
some,determiner,some,English,Common English
any,determiner,any,English,Common English
all,determiner,all,English,Common English
every,determiner,every,English,Common English
each,determiner,each,English,Common English
no,determiner,no,English,Common English
another,determiner,another,English,Common English
such,determiner,such,English,Common English
je,pronoun,I,French,Common French
tu,pronoun,you (informal singular),French,Common French
il,pronoun,he/it,French,Common French
elle,pronoun,she/it,French,Common French
nous,pronoun,we,French,Common French
vous,pronoun,you (formal/plural),French,Common French
ils,pronoun,they (masc.),French,Common French
elles,pronoun,they (fem.),French,Common French
me,pronoun,me/myself,French,Common French
te,pronoun,you (object),French,Common French
se,pronoun,oneself/himself/herself,French,Common French
moi,pronoun,me,French,Common French
toi,pronoun,you,French,Common French
lui,pronoun,him/to him,French,Common French
eux,pronoun,them (masc.),French,Common French
mon,pronoun,my (masc.),French,Common French
ma,pronoun,my (fem.),French,Common French
mes,pronoun,my (plural),French,Common French
ton,pronoun,"your (masc., informal)",French,Common French
ta,pronoun,"your (fem., informal)",French,Common French
tes,pronoun,"your (plural, informal)",French,Common French
son,pronoun,his/her/its (masc.),French,Common French
sa,pronoun,his/her/its (fem.),French,Common French
ses,pronoun,his/her/its (plural),French,Common French
notre,pronoun,our,French,Common French
votre,pronoun,your (formal),French,Common French
leur,pronoun,their,French,Common French
ce,pronoun,this/that,French,Common French
cet,pronoun,this/that (before vowel),French,Common French
cette,pronoun,this/that (fem.),French,Common French
ces,pronoun,these/those,French,Common French
qui,pronoun,who/which,French,Common French
que,pronoun,that/which/what,French,Common French
quoi,pronoun,what,French,Common French
dont,pronoun,of which/whose,French,Common French
où,pronoun,where,French,Common French
être,verb,to be,French,Common French
avoir,verb,to have,French,Common French
faire,verb,to do/make,French,Common French
dire,verb,to say,French,Common French
aller,verb,to go,French,Common French
voir,verb,to see,French,Common French
savoir,verb,to know (a fact),French,Common French
pouvoir,verb,to be able to,French,Common French
falloir,verb,to be necessary,French,Common French
vouloir,verb,to want,French,Common French
venir,verb,to come,French,Common French
devoir,verb,to have to/must,French,Common French
prendre,verb,to take,French,Common French
trouver,verb,to find,French,Common French
donner,verb,to give,French,Common French
parler,verb,to speak,French,Common French
aimer,verb,to like/love,French,Common French
passer,verb,to pass/spend (time),French,Common French
mettre,verb,to put,French,Common French
demander,verb,to ask,French,Common French
tenir,verb,to hold,French,Common French
sembler,verb,to seem,French,Common French
laisser,verb,to let/leave,French,Common French
rester,verb,to stay/remain,French,Common French
penser,verb,to think,French,Common French
entendre,verb,to hear,French,Common French
connaître,verb,to know (a person/place),French,Common French
arriver,verb,to arrive/happen,French,Common French
sentir,verb,to feel/smell,French,Common French
comprendre,verb,to understand,French,Common French
attendre,verb,to wait,French,Common French
répondre,verb,to answer,French,Common French
vivre,verb,to live,French,Common French
croire,verb,to believe,French,Common French
sortir,verb,to go out,French,Common French
montrer,verb,to show,French,Common French
écrire,verb,to write,French,Common French
suivre,verb,to follow,French,Common French
apprendre,verb,to learn,French,Common French
ouvrir,verb,to open,French,Common French
commencer,verb,to begin,French,Common French
finir,verb,to finish,French,Common French
jouer,verb,to play,French,Common French
manger,verb,to eat,French,Common French
boire,verb,to drink,French,Common French
dormir,verb,to sleep,French,Common French
marcher,verb,to walk,French,Common French
courir,verb,to run,French,Common French
acheter,verb,to buy,French,Common French
vendre,verb,to sell,French,Common French
chercher,verb,to look for,French,Common French
travailler,verb,to work,French,Common French
étudier,verb,to study,French,Common French
lire,verb,to read,French,Common French
écouter,verb,to listen,French,Common French
regarder,verb,to look/watch,French,Common French
chanter,verb,to sing,French,Common French
danser,verb,to dance,French,Common French
aider,verb,to help,French,Common French
changer,verb,to change,French,Common French
choisir,verb,to choose,French,Common French
continuer,verb,to continue,French,Common French
décider,verb,to decide,French,Common French
devenir,verb,to become,French,Common French
exister,verb,to exist,French,Common French
gagner,verb,to win/earn,French,Common French
perdre,verb,to lose,French,Common French
monter,verb,to go up,French,Common French
descendre,verb,to go down,French,Common French
tomber,verb,to fall,French,Common French
partir,verb,to leave,French,Common French
revenir,verb,to come back,French,Common French
rentrer,verb,to go home/back,French,Common French
envoyer,verb,to send,French,Common French
recevoir,verb,to receive,French,Common French
appeler,verb,to call,French,Common French
oublier,verb,to forget,French,Common French
rire,verb,to laugh,French,Common French
pleurer,verb,to cry,French,Common French
apporter,verb,to bring,French,Common French
emporter,verb,to take away,French,Common French
porter,verb,to carry/wear,French,Common French
fermer,verb,to close,French,Common French
temps,noun,time/weather,French,Common French
année,noun,year,French,Common French
homme,noun,man,French,Common French
femme,noun,woman,French,Common French
enfant,noun,child,French,Common French
monde,noun,world,French,Common French
vie,noun,life,French,Common French
jour,noun,day,French,Common French
chose,noun,thing,French,Common French
main,noun,hand,French,Common French
place,noun,place/seat,French,Common French
pays,noun,country,French,Common French
problème,noun,problem,French,Common French
groupe,noun,group,French,Common French
famille,noun,family,French,Common French
école,noun,school,French,Common French
système,noun,system,French,Common French
question,noun,question,French,Common French
travail,noun,work,French,Common French
argent,noun,money,French,Common French
mois,noun,month,French,Common French
semaine,noun,week,French,Common French
nuit,noun,night,French,Common French
moment,noun,moment,French,Common French
point,noun,point,French,Common French
maison,noun,house,French,Common French
eau,noun,water,French,Common French
mère,noun,mother,French,Common French
père,noun,father,French,Common French
ami,noun,friend,French,Common French
service,noun,service,French,Common French
idée,noun,idea,French,Common French
corps,noun,body,French,Common French
information,noun,information,French,Common French
personne,noun,person,French,Common French
ville,noun,city/town,French,Common French
nom,noun,name,French,Common French
ministre,noun,minister,French,Common French
équipe,noun,team,French,Common French
minute,noun,minute,French,Common French
heure,noun,hour,French,Common French
jeu,noun,game,French,Common French
ligne,noun,line,French,Common French
loi,noun,law,French,Common French
voiture,noun,car,French,Common French
communauté,noun,community,French,Common French
histoire,noun,story/history,French,Common French
guerre,noun,war,French,Common French
résultat,noun,result,French,Common French
changement,noun,change,French,Common French
matin,noun,morning,French,Common French
raison,noun,reason,French,Common French
recherche,noun,research,French,Common French
fille,noun,girl/daughter,French,Common French
garçon,noun,boy,French,Common French
air,noun,air,French,Common French
professeur,noun,teacher,French,Common French
force,noun,strength/force,French,Common French
éducation,noun,education,French,Common French
marché,noun,market,French,Common French
prix,noun,price,French,Common French
route,noun,road,French,Common French
quartier,noun,neighborhood,French,Common French
lumière,noun,light,French,Common French
courant,noun,electric current,French,Common French
pluie,noun,rain,French,Common French
étudiant,noun,student,French,Common French
bon,adjective,good,French,Common French
nouveau,adjective,new,French,Common French
premier,adjective,first,French,Common French
dernier,adjective,last,French,Common French
long,adjective,long,French,Common French
grand,adjective,big/tall,French,Common French
petit,adjective,small,French,Common French
propre,adjective,clean/own,French,Common French
autre,adjective,other,French,Common French
vieux,adjective,old,French,Common French
droit,adjective,right/straight,French,Common French
gros,adjective,big/fat,French,Common French
haut,adjective,high,French,Common French
différent,adjective,different,French,Common French
